what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.organize.imports,1389493109066
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.file.save,1389493109612
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1389493113263
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493116570
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493116773
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1389493124573
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.file.save,1389493148394
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.selectAll,1389493152091
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.format,1389493152996
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.file.save,1389493153620
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1389493160156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493162621
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493164025
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493164899
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493171061
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1389493171732
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1389493173978
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.file.refresh,1389493175070
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1389493177254
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1389493183556
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1389493189469
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493195022
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493196707
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389493202526
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1389493206379
